serie,arquitectura,ventana,unidades_1,unidades_2,dropout,learning_rate,batch_size,epocas_utilizadas,val_loss
Aérea,LSTM simple,6,16,,0.2,0.001,16,30,0.05191401019692421
Aérea,LSTM simple,6,16,,0.0,0.001,16,18,0.05392294377088547
Aérea,LSTM simple,12,16,,0.0,0.0005,8,16,0.058444004505872726
Aérea,LSTM simple,6,32,,0.0,0.0005,8,18,0.059419818222522736
Aérea,LSTM simple,6,32,,0.0,0.001,16,17,0.0607195682823658
Aérea,LSTM simple,6,16,,0.2,0.001,8,41,0.06299737840890884
Aérea,LSTM simple,6,32,,0.0,0.0005,16,21,0.06372641026973724
Aérea,LSTM simple,6,16,,0.0,0.0005,16,27,0.06393004208803177
Aérea,LSTM simple,6,16,,0.0,0.0005,8,20,0.06582792848348618
Aérea,LSTM simple,6,64,,0.0,0.001,8,18,0.06607601046562195
Aérea,LSTM simple,6,32,,0.2,0.001,8,29,0.06642457842826843
Aérea,LSTM simple,6,64,,0.0,0.0005,8,17,0.06696305423974991
Aérea,LSTM simple,6,16,,0.0,0.001,8,40,0.06864527612924576
Aérea,LSTM simple,6,64,,0.0,0.0005,16,19,0.06941761821508408
Aérea,LSTM simple,12,32,,0.2,0.001,16,20,0.06987238675355911
Aérea,LSTM simple,6,64,,0.2,0.001,8,18,0.07021444290876389
Aérea,LSTM simple,6,32,,0.0,0.001,8,17,0.07076062262058258
Aérea,LSTM simple,6,64,,0.2,0.001,16,21,0.07083030790090561
Aérea,LSTM simple,12,32,,0.2,0.0005,16,19,0.07147553563117981
Aérea,LSTM simple,18,32,,0.0,0.001,8,16,0.07216300070285797
Aérea,LSTM simple,6,64,,0.2,0.0005,16,19,0.07228634506464005
Aérea,LSTM apilada,6,64,32.0,0.0,0.001,8,17,0.07233687490224838
Aérea,LSTM apilada,6,32,16.0,0.2,0.001,8,19,0.07316164672374725
Aérea,LSTM apilada,6,64,32.0,0.0,0.0005,16,18,0.0733172744512558
Aérea,LSTM apilada,6,64,32.0,0.2,0.001,16,20,0.07349757105112076
Aérea,LSTM apilada,6,64,16.0,0.2,0.001,8,18,0.07399938255548477
Aérea,LSTM apilada,6,32,32.0,0.0,0.001,16,17,0.07424529641866684
Aérea,LSTM simple,6,32,,0.2,0.0005,8,57,0.07424996793270111
Aérea,LSTM apilada,6,64,32.0,0.2,0.001,8,17,0.07446997612714767
Aérea,LSTM simple,6,64,,0.2,0.0005,8,32,0.07489768415689468
Aérea,LSTM apilada,6,32,16.0,0.2,0.0005,8,18,0.0750374123454094
Aérea,LSTM simple,12,16,,0.0,0.001,16,20,0.07563608139753342
Aérea,LSTM apilada,6,64,16.0,0.2,0.0005,16,23,0.0758218839764595
Aérea,LSTM simple,18,16,,0.2,0.001,8,25,0.07616306096315384
Aérea,LSTM simple,12,16,,0.2,0.001,8,24,0.07666583359241486
Aérea,LSTM apilada,6,64,32.0,0.0,0.001,16,20,0.07678578794002533
Aérea,LSTM apilada,6,64,16.0,0.2,0.001,16,17,0.07679323107004166
Aérea,LSTM apilada,6,32,32.0,0.0,0.0005,16,19,0.0768284946680069
Aérea,LSTM apilada,6,64,16.0,0.0,0.001,8,18,0.07693739980459213
Aérea,LSTM simple,18,16,,0.2,0.0005,8,18,0.07702720910310745
Aérea,LSTM apilada,6,32,32.0,0.2,0.001,8,34,0.0770815759897232
Aérea,LSTM apilada,6,32,16.0,0.2,0.0005,16,21,0.07713238149881363
Aérea,LSTM apilada,6,32,32.0,0.2,0.001,16,21,0.07728766649961472
Aérea,LSTM apilada,6,64,16.0,0.0,0.0005,16,19,0.07731848210096359
Aérea,LSTM simple,18,64,,0.0,0.001,16,16,0.07790950685739517
Aérea,LSTM apilada,6,64,16.0,0.0,0.001,16,20,0.07802935689687729
Aérea,LSTM simple,12,16,,0.2,0.0005,8,18,0.07804200053215027
Aérea,LSTM simple,6,64,,0.0,0.001,16,22,0.07804486900568008
Aérea,LSTM apilada,6,64,32.0,0.2,0.0005,8,19,0.07814264297485352
Aérea,LSTM apilada,6,32,32.0,0.0,0.001,8,18,0.07824669778347015
Aérea,LSTM apilada,6,64,32.0,0.0,0.0005,8,19,0.07851121574640274
Aérea,LSTM simple,18,16,,0.0,0.0005,16,20,0.07867910712957382
Aérea,LSTM apilada,6,32,32.0,0.2,0.0005,16,21,0.0787346363067627
Aérea,LSTM apilada,6,64,16.0,0.2,0.0005,8,39,0.07880006730556488
Aérea,LSTM apilada,6,32,32.0,0.2,0.0005,8,23,0.07910222560167313
Aérea,LSTM apilada,6,32,16.0,0.0,0.0005,16,20,0.07985130697488785
Aérea,LSTM apilada,6,32,32.0,0.0,0.0005,8,20,0.08022220432758331
Aérea,LSTM apilada,6,32,16.0,0.0,0.001,8,18,0.08035092055797577
Aérea,LSTM simple,6,32,,0.2,0.0005,16,24,0.0807756558060646
Aérea,LSTM simple,12,16,,0.0,0.0005,16,22,0.0808703601360321
Aérea,LSTM simple,6,32,,0.2,0.001,16,20,0.08102273941040039
Aérea,LSTM apilada,6,32,16.0,0.2,0.001,16,23,0.0811084434390068
Aérea,LSTM apilada,6,32,16.0,0.0,0.001,16,21,0.08140438050031662
Aérea,LSTM simple,12,32,,0.0,0.0005,8,17,0.08172330260276794
Aérea,LSTM apilada,6,64,32.0,0.2,0.0005,16,23,0.08179973810911179
Aérea,LSTM simple,18,64,,0.2,0.0005,8,16,0.08257382363080978
Aérea,LSTM simple,12,64,,0.2,0.001,16,20,0.08315690606832504
Aérea,LSTM apilada,6,64,16.0,0.0,0.0005,8,20,0.08330494165420532
